issue_number,total_events,reopen_count,unique_actors,reassignment_count,first_assignee,sla_breach_flag,all_labels_seen
301352,4,0,2,1,pwang347,0,ai-translated|triage-needed
301377,11,0,3,1,connor4312,0,chat-ext-issue|~info-needed|triage-needed|info-needed|*duplicate
301391,6,0,3,1,rzhao271,0,triage-needed|info-needed
301394,3,0,1,1,sandy081,0,*duplicate
301395,6,0,3,2,sbatten,0,triage-needed|*as-designed
301403,3,0,1,1,sandy081,0,*duplicate
301405,2,0,2,1,sandy081,0,
301421,2,0,2,1,justschen,0,
301426,4,0,1,0,,0,~spam|spam
301428,2,0,1,1,meganrogge,0,
301440,7,0,3,2,aiday-mar,0,triage-needed|*duplicate
301451,4,0,2,0,,0,~spam|spam
301458,14,0,7,3,sbatten,0,chat-ext-issue|triage-needed|bug|important|model-picker|author-verification-requested
301464,4,0,1,0,,0,~chat-billing|chat-billing
301491,15,0,5,4,bpasero,0,triage-needed|bug|install-update|windows|info-needed|unreleased|insiders-released
301498,2,0,2,1,aiday-mar,0,
301506,2,0,2,1,hediet,0,
301508,11,0,2,3,meganrogge,0,terminal-input|bug|confirmation-pending|info-needed|*duplicate
301515,4,0,1,0,,0,~spam|spam
301518,9,0,4,2,connor4312,0,bug|chat-ask|unreleased|insiders-released|verified
301521,4,0,1,0,,0,~chat-billing|chat-billing
301530,4,0,1,0,,0,~chat-billing|chat-billing
301541,3,0,1,1,mjbvz,0,endgame-plan
301547,7,0,3,2,benibenj,0,triage-needed|*duplicate
301552,8,0,4,3,rzhao271,0,testplan-item
301553,3,0,2,1,meganrogge,0,info-needed
301554,2,0,2,1,minsa110,0,
301563,4,0,2,1,dmitrivMS,0,bug|accessibility
301568,7,0,2,1,meganrogge,0,accessibility|bug|unreleased|insiders-released
301578,3,0,1,0,,0,~chat-request-failed
301581,4,0,1,0,,0,~spam|spam
301594,7,0,1,1,anthonykim1,0,bug|terminal-links|copilot-cli-agent|copilot
301608,8,0,2,1,meganrogge,0,bug|tasks|chat|unreleased|insiders-released
301609,5,0,1,1,anthonykim1,0,bug|*as-designed|terminal-conpty
301617,2,0,1,0,,0,chat-ext-issue
301619,13,0,5,1,DonJayamanne,0,copilot-cli-agent|bug|info-needed|verification-found|verification-steps-needed|unreleased|verified
301620,5,0,2,0,,0,~info-needed|triage-needed|info-needed
301641,4,0,1,0,,0,~chat-billing|chat-billing
301654,3,0,1,0,,0,~chat-rate-limiting
301685,4,0,1,0,,0,~spam|spam
301694,4,0,3,1,lramos15,0,chat-ext-issue
301702,4,0,1,0,,0,~chat-billing|chat-billing
301715,7,0,3,2,Yoyokrazy,0,triage-needed|*duplicate
301723,4,0,1,0,,0,~spam|spam
301732,4,0,1,0,,0,ai-translated|~chat-request-failed
301733,4,0,1,0,,0,ai-translated|~chat-request-failed
301739,3,0,2,1,meganrogge,0,triage-needed
301747,2,0,2,1,chrmarti,0,
301748,9,0,3,2,aeschli,0,chat-prompts|feature-request|verification-needed|unreleased|insiders-released
301753,3,0,1,1,aeschli,0,
301754,3,0,1,1,sandy081,0,*duplicate
301782,4,0,1,0,,0,~spam|spam
301786,4,0,1,0,,0,~chat-billing|chat-billing
301795,5,0,2,0,,0,chat-ext-issue|~chat-no-response-returned
301802,3,0,1,1,sandy081,0,*duplicate
301819,11,0,4,3,bpasero,0,bug|macos|candidate|unreleased|insiders-released
301821,4,0,1,0,,0,~chat-billing|chat-billing
301844,6,0,2,0,,0,chat-ext-issue|ai-translated|~chat-request-failed
301858,4,0,3,1,pwang347,0,bug|verified
301879,8,0,4,3,roblourens,0,bug|info-needed|copilot-cli-agent
301886,9,0,4,3,mjbvz,0,triage-needed|vscode-website
301912,3,0,1,1,sandy081,0,*duplicate
301921,3,0,1,1,sandy081,0,*duplicate
301922,5,0,2,0,,0,~info-needed|triage-needed|info-needed
301928,6,0,3,1,dileepyavan,0,bug|important|chat-terminal-sandbox|candidate
301935,7,0,3,2,kycutler,0,triage-needed|info-needed
301955,4,0,1,0,,0,~spam|spam
301960,3,0,1,1,sandy081,0,*duplicate
